11,2932
12,3099
13,2651
14,2846
15,89467
16,88806
17,89431
18,89446
19,89954
20,90406
21,3807
22,4709
23,3820
24,3943
25,3672
26,4455
27,4020
28,33990
29,33892
30,33845
31,34090
32,32721
33,33366
34,2881
35,3650
36,3667
37,4026
38,4317
39,3572
40,3870
41,3750
42,3364
43,2715
44,2873
45,3557
46,3585
47,3985
48,3987
49,4325
50,4337
51,4435
52,4570
53,4302
54,4246
55,4707
56,4150
57,4173
58,4201
59,3738
60,4573
61,3936
62,4376
63,4204
64,3543
65,3575
66,3061
67,3627
68,3394
69,3099
70,3539
71,3956
72,4174
73,4216
74,4571
75,4843
76,4908
77,4725
78,6460
79,15319
80,14888
81,14634
82,14937
83,15399
84,13843
85,4876
86,4909
87,5432
88,4917
89,4626
90,4053
91,3746
92,3575
93,3149
94,3173
95,2995
96,3635
97,3839
98,4572
99,5109
100,5244
101,5537
102,5485
103,5399
104,4876
105,4421
106,4740
107,4544
108,4552
109,4307
110,4730
111,5106
112,4572
113,4690
114,4397
115,4189
116,3809
117,3474
118,3347
119,3582
120,4004
121,4318
122,4325
123,4676
124,4794
125,4698
126,4276
127,5684
128,5218
129,5337
130,5847
131,5470
132,5109
133,3702
134,4030
135,3216
136,2743
137,2430
138,2685
139,2491
140,3442
141,3884
142,4170
143,4949
144,5451
145,5542
146,4512
147,4860
148,4490
149,4262
150,3800
151,3921
152,4234
153,3961
154,4480
155,4068
156,4036
157,3917
158,4048
159,3537
160,3458
161,3763
162,3484
163,13379
164,12990
165,13627
166,12863
167,12514
168,12717
169,15606
170,15678
171,15156
172,15524
173,15534
174,15680
175,3353
176,4117
177,5156
178,5278
179,5760
180,6591
181,6257
182,5594
183,5505
184,5818
185,5573
186,4217
187,4467
188,4201
189,3127
190,2552
191,1956
192,3495
193,2855
194,2907
195,4036
196,4545
197,5778
198,4997
199,5302
200,5276
201,4612
202,4898
203,4984
204,4477
205,4414
206,4457
207,4072
208,3603
209,3020
210,2875
211,2936
212,3200
213,4312
214,4115
215,3798
216,5081
217,5922
218,6189
219,5769
220,6003
221,6946
222,6059
223,5184
224,4723
225,5086
226,5129
227,4675
228,4472
229,4364
230,4842
231,4327
232,4286
233,4733
234,4969
235,5194
236,4628
237,3782
238,3955
239,3584
240,3400
241,3430
242,4614
243,5713
244,5489
245,5345
246,5416
247,5362
248,4887
249,4197
250,4932
251,5362
252,6204
253,6319
254,5901
255,6195
256,5617
257,5404
258,5235
259,5659
260,6167
261,5933
262,5874
263,6258
264,5631
265,4510
266,3442
267,3741
268,3185
269,1872
270,2798
271,3849
272,4471
273,4255
274,4490
275,5633
276,4418
277,5125
278,5284
279,4950
280,5517
281,4733
282,5199
283,4132
284,4216
285,5248
286,5359
287,5308
288,5300
289,5115
290,4905
291,4290
292,4135
293,4522
294,4846
295,4911
296,4638
297,4065
298,4158
299,4205
300,3894
301,3992
302,4177
303,5336
304,4851
305,5061
306,5511
307,5318
308,5600
309,4396
310,4360
311,3385
312,3178
313,3206
314,2983
315,4093
316,4243
317,4575
318,3977
319,4349
320,3774
321,3393
322,3424
323,3657
324,4315
325,3939
326,4494
327,4541
328,4275
329,3934
